Date,Variacion_IPC,IPC_suma
2016-03-01,0.6,363.4999999999996
2016-04-01,0.7,364.1999999999996
2016-05-01,0.5,364.6999999999996
2016-06-01,0.5,365.1999999999996
2016-07-01,-0.7,364.4999999999996
2016-08-01,0.1,364.5999999999996
2016-09-01,0.0,364.5999999999996
2016-10-01,1.1,365.69999999999965
2016-11-01,0.4,366.0999999999996
2016-12-01,0.6,366.69999999999965
2017-01-01,-0.5,366.19999999999965
2017-02-01,-0.4,365.79999999999967
2017-03-01,0.0,365.79999999999967
2017-04-01,1.0,366.79999999999967
2017-05-01,-0.1,366.69999999999965
2017-06-01,0.0,366.69999999999965
2017-07-01,-0.7,365.99999999999966
2017-08-01,0.2,366.19999999999965
2017-09-01,0.2,366.39999999999964
2017-10-01,0.9,367.2999999999996
2017-11-01,0.5,367.7999999999996
2017-12-01,0.0,367.7999999999996
2018-01-01,-1.1,366.6999999999996
2018-02-01,0.1,366.7999999999996
2018-03-01,0.1,366.89999999999964
2018-04-01,0.8,367.69999999999965
2018-05-01,0.9,368.5999999999996
2018-06-01,0.3,368.89999999999964
2018-07-01,-0.7,368.19999999999965
2018-08-01,0.1,368.29999999999967
2018-09-01,0.2,368.49999999999966
2018-10-01,0.9,369.39999999999964
2018-11-01,-0.1,369.2999999999996
2018-12-01,-0.4,368.89999999999964
2019-01-01,-1.3,367.5999999999996
2019-02-01,0.2,367.7999999999996
2019-03-01,0.4,368.1999999999996
2019-04-01,1.0,369.1999999999996
2019-05-01,0.2,369.3999999999996
2019-06-01,-0.1,369.29999999999956
2019-07-01,-0.6,368.69999999999953
2019-08-01,-0.1,368.5999999999995
2019-09-01,0.0,368.5999999999995
2019-10-01,1.0,369.5999999999995
2019-11-01,0.2,369.7999999999995
2019-12-01,-0.1,369.6999999999995
2020-01-01,-1.0,368.6999999999995
2020-02-01,-0.1,368.59999999999945
2020-03-01,-0.4,368.1999999999995
2020-04-01,0.3,368.4999999999995
2020-05-01,0.0,368.4999999999995
2020-06-01,0.5,368.9999999999995
2020-07-01,-0.9,368.0999999999995
2020-08-01,0.0,368.0999999999995
2020-09-01,0.2,368.2999999999995
2020-10-01,0.5,368.7999999999995
2020-11-01,0.2,368.9999999999995
2020-12-01,0.2,369.1999999999995
2021-01-01,0.0,369.1999999999995
2021-02-01,-0.6,368.59999999999945
2021-03-01,1.0,369.59999999999945
2021-04-01,1.2,370.79999999999944
2021-05-01,0.5,371.29999999999944
2021-06-01,0.5,371.79999999999944
2021-07-01,-0.8,370.99999999999943
2021-08-01,0.5,371.49999999999943
2021-09-01,0.8,372.29999999999944
2021-10-01,1.8,374.09999999999945
2021-11-01,0.3,374.39999999999947
2021-12-01,1.2,375.59999999999945
2022-01-01,-0.4,375.1999999999995
2022-02-01,0.8,375.9999999999995
2022-03-01,3.0,378.9999999999995
2022-04-01,-0.2,378.7999999999995
2022-05-01,0.8,379.5999999999995
2022-06-01,1.9,381.4999999999995
2022-07-01,-0.3,381.1999999999995
2022-08-01,0.3,381.4999999999995
2022-09-01,-0.7,380.7999999999995
2022-10-01,0.3,381.0999999999995
